month,sfo_ground_trips
2023-01,754556.0
2023-02,694951.0
2023-03,864610.0
2023-04,847180.0
2023-05,961195.0
2023-06,947469.0
2023-07,910265.0
2023-08,929645.0
2023-09,975503.0
2023-10,1010191.0
2023-11,919524.0
2023-12,854276.0
2024-01,817418.0
2024-02,796837.0
2024-03,926210.0
2024-04,919467.0
2024-05,1042569.0
2024-06,987521.0
2024-07,939497.0
2024-08,948980.0
2024-09,1027393.0
2024-10,1079889.0
2024-11,932551.0
2024-12,973303.0
2025-01,895202.0
2025-02,847084.0
2025-03,1003852.0
2025-04,988618.0
2025-05,1119254.0
2025-06,1075049.0
2025-07,1018817.0
2025-08,1007733.0
2025-09,1079721.0
2025-10,1176677.0
2025-11,1018418.0
2025-12,962629.0
