month,taxi_trips,taxi_total_fare,taxi_avg_fare
2023-01,212798,6636580.34,31.187230801041363
2023-02,189659,5741866.64,30.274685830885957
2023-03,208091,6407863.35,30.79356315265917
2023-04,218564,6557043.88,30.000566790505296
2023-05,209450,6354017.7899996,30.336680783001192
2023-06,209284,6323649.41,30.215637172454656
2023-07,204971,6254359.84,30.513388918432362
2023-08,221375,6625052.77,29.92683351778656
2023-09,211829,6510443.56,30.73442994113176
2023-10,212373,6586342.68,31.01308866946363
2023-11,188370,5643344.29,29.958827254870734
2023-12,178855,5100774.4,28.519048391154847
2024-01,219687,6317331.07,28.756053248485347
2024-02,290231,7601887.08,26.19254001123243
2024-03,317683,8518641.54,26.81491153130636
2024-04,304343,8222902.09,27.018535303916963
2024-05,338585,9310750.69,27.499005242405893
